Nº NF;OC Vinculada;Status OC;Status Sistema;Chave de Acesso
96633;000005030;fechada;processada;35260452243680000178550010000966331812358146
871639;000034995;não encontrada;pendente;26260407264693000179550010008716391294071626
266345;000004943;fechada;processada;26260402683153000378550010002663451354553479
53943;049036591;não encontrada;pendente;26260405012582000140550010000539431168386250
49249;—;sem OC;pendente;35260473012411000170550010000492491796338923
49244;—;sem OC;pendente;35260473012411000170550010000492441424759963
37928;000076942;não encontrada;pendente;26260444471407000253550010000379281674543829
17915;000004757;fechada;processada;26260310992603000170550010000179151136187755
115400;004891926;não encontrada;pendente;26260306913480000834550020001154001709614186
3314;000004989;fechada;processada;35260342798240000123550010000033141000037315
230695;000005010;fechada;processada;42260302263430000393550020002306951080837222
17904;000005012;fechada;processada;26260310992603000170550010000179041136471310
99285;001624300;não encontrada;pendente;33260313891342000190550010000992851504582000
99281;001624300;não encontrada;pendente;33260313891342000190550010000992811504579000
752;000001564;fechada;processada;31260335087707000161550010000007521813853301
34974;000004999;fechada;processada;31260323827868000165550550000349741491573200
532662;—;sem OC;pendente;26260346044053002582550010005326621375821517
224;000000344;fechada;processada;33260308101451000127550010000002241570161379
115218;004877949;não encontrada;pendente;26260306913480000834550020001152181112451325
21628;000047370;não encontrada;pendente;33260303496485000144550010000216281000327125
21627;000047375;não encontrada;pendente;33260303496485000144550010000216271000327110
21629;000047418;não encontrada;pendente;33260303496485000144550010000216291000327130
277733;000001627;fechada;processada;33260342270058000103550010002777331705513888
168388;000001688;fechada;processada;33260331383201000149550010001683881010016836
28701;—;sem OC;pendente;26260342924799000152550010000287011689952908
49095;—;sem OC;pendente;35260373012411000170550010000490951774140444
78035;000001542;parcial;pendente;35260344151413000142550010000780351147341895
78034;000001539;fechada;processada;35260344151413000142550010000780341332593687
107430;000001597;parcial;pendente;35260350892934000153550010001074301315481645
750;000001417;fechada;processada;31260335087707000161550010000007501292948755
130800;—;sem OC;pendente;35260367439513000174550100001308001003296714
25887;000001675;parcial;pendente;33260324204991000192550010000258871842229074
44848;000001661;fechada;processada;35260310378969000405550010000448481888787760
280635;000004991;fechada;processada;26260324073694000155550020002806351000706721
19243;000004843;fechada;processada;35260374242785000145550010000192431026329715
532038;—;sem OC;pendente;26260346044053002582550010005320381586531189
1397472;—;sem OC;pendente;26260335512722000100550010013974721024664419
98987;001624500;não encontrada;pendente;33260313891342000190550010000989871502916007
98986;001624400;não encontrada;pendente;33260313891342000190550010000989861502915003
98984;001624500;não encontrada;pendente;33260313891342000190550010000989841502886009
98983;001624500;não encontrada;pendente;33260313891342000190550010000989831502885005
98961;001624600;não encontrada;pendente;33260313891342000190550010000989611502698003
98959;001624600;não encontrada;pendente;33260313891342000190550010000989591502685000
98954;001624600;não encontrada;pendente;33260313891342000190550010000989541502668002
265921;000004988;fechada;processada;26260302683153000378550010002659211387144902
48761;000001759;fechada;processada;33260325464260000491550010000487611180487615
2409;000001538;fechada;processada;33260340897398000125550010000024091630531310
712131;000001644;fechada;processada;33260357158057000645550010007121311825440583
41314;000001677;fechada;processada;32260310619499000335550010000413141583522990
297287;000001703;fechada;processada;35260361479002000108550010002972871451534241
297286;000001601;fechada;processada;35260361479002000108550010002972861777497210
25761;000001751;fechada;processada;33260324204991000192550010000257611609283485
25764;000001725;fechada;processada;33260324204991000192550010000257641878537984
7567;000001760;fechada;processada;42260334081475000171550010000075671253511068
868194;000031276;não encontrada;pendente;26260307264693000179550010008681941865576871
531606;000004979;parcial;pendente;26260346044053002582550010005316061796139212
177366;000001696;fechada;processada;35260309353055000150550000001773661002866871
45635;000001628;fechada;processada;32260357158057000998550010000456351921755444
1514710;000004972;fechada;processada;32260346044053004607550010015147101105695121
46660;000004974;fechada;processada;26260360621141000587550010000466601104808457
1440;000004975;fechada;processada;41260363564305000146550010000014407003807759
128816;000001435;fechada;processada;35260372797913000191550010001288161238313940
1047412;—;sem OC;pendente;31260317281973001382550010010474121294779938
25658;000001675;parcial;pendente;33260324204991000192550010000256581173783027
25659;000001606;fechada;processada;33260324204991000192550010000256591201952000
557004;000004672;fechada;processada;35260361150751009135550010005570041023225021
27287;—;sem OC;pendente;31260300568041000189550000000272871220067083
98710;001624400;não encontrada;pendente;33260313891342000190550010000987101501054005
117325;000001342;parcial;pendente;33260307358761028411550010001173251147553301
745;000001490;fechada;processada;31260335087707000161550010000007451303886548
98691;001624400;não encontrada;pendente;33260313891342000190550010000986911500917002
98690;001624400;não encontrada;pendente;33260313891342000190550010000986901500918001
1046246;—;sem OC;pendente;31260317281973001382550010010462461712247980
98678;001624400;não encontrada;pendente;33260313891342000190550010000986781500801002
37795;000076668;não encontrada;pendente;26260344471407000253550010000377951161507364
112414;000001434;fechada;processada;35260310533881000160550000001124141362048059
3449;000001546;fechada;processada;33260336380430000123550010000034491000336386
48538;000001722;fechada;processada;33260325464260000491550010000485381180485389
3450;000001583;fechada;processada;33260336380430000123550010000034501000336395
265652;000004943;fechada;processada;26260302683153000378550010002656521889029395
277340;000004936;fechada;processada;26260301612046000124550010002773401138125941
19162;000004843;fechada;processada;35260374242785000145550010000191621857696773
25589;000004942;fechada;processada;26260319403406000143550080000255891730932572
48438;000001643;fechada;processada;33260325464260000491550010000484381180484387
530512;000004948;parcial;pendente;26260346044053002582550010005305121830381316
34838;000004754;fechada;processada;31260323827868000165550550000348381605406135
297051;000001601;fechada;processada;35260361479002000108550010002970511891348701
176704;000001566;fechada;processada;35260309353055000150550000001767041002859225
954;000001600;fechada;processada;41260329252689000123550010000009541002776494
21517;000047254;não encontrada;pendente;33260303496485000144550010000215171000325972
128687;000001407;fechada;processada;35260372797913000191550010001286871671573423
14555;000004918;fechada;processada;32260326727928000247550010000145551001451493
265633;000004943;fechada;processada;26260302683153000378550010002656331920539137
866112;000029172;não encontrada;pendente;26260307264693000179550010008661121841834086
30914;000020410;não encontrada;pendente;31260327510292000169550010000309141639154256
117239;000001342;parcial;pendente;33260307358761028411550010001172391326339681
128672;000001411;fechada;processada;35260372797913000191550010001286721600592660
199;000000287;fechada;processada;33260308101451000127550010000001991720053350
48353;000001643;fechada;processada;33260325464260000491550010000483531180483535
48354;000001655;fechada;processada;33260325464260000491550010000483541180483540
25442;000001606;fechada;processada;33260324204991000192550010000254421890726500
25441;000001606;fechada;processada;33260324204991000192550010000254411286768513
3418;000001334;parcial;pendente;33260336380430000123550010000034181000334727
865829;000028929;não encontrada;pendente;26260307264693000179550010008658291426695430
46412;000004933;fechada;processada;26260360621141000587550010000464121942685274
530154;000004934;fechada;processada;26260346044053002582550010005301541330705170
7968;000000798;fechada;processada;35260309654647000101550010000079681848875028
72210;000001595;cancelada;pendente;32260333054412000597550010000722101057630606
181062;000001504;fechada;processada;31260366220047000179550000001810621001350666
24003;000001534;fechada;processada;33260334073353000133550010000240031544061994
3416;000001468;fechada;processada;33260336380430000123550010000034161000334617
3415;000001546;fechada;processada;33260336380430000123550010000034151000334598
3413;000001569;fechada;processada;33260336380430000123550010000034131000334569
514115;005341160;não encontrada;pendente;26260370224936000181550010005141151005141165
46375;000004926;fechada;processada;26260360621141000587550010000463751598953557
15811;000052110;não encontrada;pendente;33260303182704000200550010000158111316692075
136305;000004875;fechada;processada;35260301477885000187550010001363051525332343
129;000004693;fechada;processada;42260329830760000108550010000001291009103201
40986;000001580;fechada;processada;32260210619499000335550010000409861007616712
3409;000001570;fechada;processada;33260236380430000123550010000034091000333540
768;000001508;fechada;processada;35260231535973000159550010000007681251839457
111990;000001434;fechada;processada;35260210533881000160550000001119901662778185
9890;000004903;fechada;processada;35260200498727000140550010000098901020261690
23109;—;sem OC;pendente;26260209316105000986550020000231091220469867
223752;1103014168;não encontrada;pendente;26260212599809000160550010002237521247119570
301415;000264350;não encontrada;pendente;26260213596165000110550010003014151664864140
1041298;—;sem OC;pendente;31260217281973001382550010010412981195421140
77760;000001460;parcial;pendente;35260244151413000142550010000777601144556478
77761;000001213;fechada;processada;35260244151413000142550010000777611109669943
111988;000001434;fechada;processada;35260210533881000160550000001119881411122230
165765;000001426;fechada;processada;33260231383201000149550010001657651010016577
77744;000001236;parcial;pendente;35260244151413000142550010000777441473458553
77745;000001236;parcial;pendente;35260244151413000142550010000777451197551032
42560;000001474;fechada;processada;35260223440235000108550010000425601198989765
77746;000001238;fechada;processada;35260244151413000142550010000777461517532103
111656;000001433;fechada;processada;35260213705784000103550010001116561402142024
117131;—;sem OC;pendente;33260207358761028411550010001171311003044321
117128;—;sem OC;pendente;33260207358761028411550010001171281891967051
117129;—;sem OC;pendente;33260207358761028411550010001171291863246903
1455527;000001380;fechada;processada;42260292664028002519550010014555271014074427
555723;000004724;fechada;processada;35260261150751009135550010005557231060215353
356701;—;sem OC;pendente;26260205266210000573550010003567011244163230
7097;000004897;aberta;pendente;41260211260642000146550010000070971001051989
1635;000004787;fechada;processada;26260249165987000193550010000016351300724630
105417;000004771;fechada;processada;35260252462215000128550010001054171515857338
140553;000001323;fechada;processada;33260207358761026206550010001405531040243598
140552;000001358;fechada;processada;33260207358761026206550010001405521408312130
543;000001461;fechada;processada;35260251448375000150550010000005431000012173
216064;000001379;fechada;processada;35260255474522000117550010002160641465240819
539;000001461;fechada;processada;35260251448375000150550010000005391000005689
16312;—;sem OC;pendente;33260200639844000420550010000163121614380013
16311;—;sem OC;pendente;33260200639844000420550010000163111475095407
25266;000001462;fechada;processada;33260224204991000192550010000252661002827930
25264;000001331;fechada;processada;33260224204991000192550010000252641127927331
25265;000001507;cancelada;pendente;33260224204991000192550010000252651890181660
13683;000004914;fechada;processada;26260206141500000120550050000136831120519830
105409;000004718;fechada;processada;35260252462215000128550010001054091434801268
8406336;1025821092976;não encontrada;pendente;35260272381189001001550010084063361044711620
433;000001202;fechada;processada;35260219496633000160550010000004331000551073
91518;000000999;fechada;processada;32260259274316000467550010000915181494238200
91517;000001410;parcial;pendente;32260259274316000467550010000915171214184230
1850;000004864;fechada;processada;26260212040324000132550010000018501908826160
46211;000004866;fechada;processada;26260260621141000587550010000462111805308442
10502;000004892;fechada;processada;26260205395073000143550010000105021883828767
2542;000000480;fechada;processada;31260220458968000335550010000025421709634800
215908;000001437;fechada;processada;35260255474522000117550010002159081626482237
13873;0000005523;não encontrada;pendente;33260213034282000190550010000138731737907957
2540;000000480;fechada;processada;31260220458968000335550010000025401184792951
356629;161022094;não encontrada;pendente;26260205266210000573550010003566291175247692
884366;000004894;fechada;processada;35260261854147000133550040008843661049271653
183265;000001511;fechada;processada;33260233234252000134550050001832651340320108
584364;000001512;fechada;processada;32260268993641000802550010005843641695138892
584278;000001043;fechada;processada;32260268993641000802550010005842781744053700
91611;000000537;parcial;pendente;35260257643645000402550020000916111223087051
91612;000000449;parcial;pendente;35260257643645000402550020000916121221480101
30545;000020095;não encontrada;pendente;31260227510292000169550010000305451970481197
111424;000001406;fechada;processada;35260213705784000103550010001114241602143330
111423;000001111;parcial;pendente;35260213705784000103550010001114231602143324
4193;000001261;fechada;processada;31260217756068000106550010000041931000434333
25316;4020224983;não encontrada;pendente;26260227093558001430550010000253161161023765
265197;000004900;fechada;processada;26260202683153000378550010002651971729879308
94803;000004686;fechada;processada;25260202155469000982550010000948031720356336
43790;000004713;fechada;processada;35260205607657001107550190000437901276004596
140404;—;sem OC;pendente;33260207358761026206550010001404041083551839
175371;000001271;fechada;processada;35260209353055000150550000001753711002662254
46059;000004866;fechada;processada;26260260621141000587550010000460591011632742
2240;000004882;aberta;pendente;33260218323709001599550010000022401555237143
634943;000004856;fechada;processada;26260201754239000462550010006349431000299558
7126;145341639;não encontrada;pendente;26260242041241000129550010000071261000146949
33678;000004870;fechada;processada;26260204307025000193550010000336781160211196
23899;000001424;fechada;processada;33260234073353000133550010000238991544061990
731;000001438;cancelada;pendente;33260209044742000193550010000007311080006161
47813;000001473;cancelada;pendente;33260225464260000491550010000478131180478136
130531;000001418;fechada;processada;35260210967516000163550010001305311005809799
13870;000001203;fechada;processada;35260216907419000161550010000138701658290899
146576;000001315;fechada;processada;33260228842898000164550010001465761867483060
91433;000000449;parcial;pendente;35260257643645000402550020000914331221480097
298763;000261767;não encontrada;pendente;26260213596165000110550010002987631930896083
164217;000001471;fechada;processada;33260231383201000149550010001642171010016420
9845;000004828;fechada;processada;35260200498727000140550010000098451020261058
47723;000001352;parcial;pendente;33260225464260000491550010000477231180477238
929;000001321;fechada;processada;41260229252689000123550010000009291404538460
15875;000001322;fechada;processada;35260210531308000117550010000158751810356780
45937;000004844;fechada;processada;26260260621141000587550010000459371630779425
465058;—;sem OC;pendente;26260210158356001930550010004650581448800082
19020;000004628;fechada;processada;35260274242785000145550010000190201223852306
62955;000039610;não encontrada;pendente;26260227058274000198550010000629551733342245
18952;000001208;fechada;processada;35260212517859000151550010000189521367564070
174848;000001388;fechada;processada;35260209353055000150550000001748481002655856
3323;000001334;parcial;pendente;33260236380430000123550010000033231000329759
164016;000001427;fechada;processada;33260231383201000149550010001640161010016405
191023;000004789;fechada;processada;35260202080427000172550010001910231110308634
7111;144525745;não encontrada;pendente;26260242041241000129550010000071111000146601
6018;009001369;não encontrada;pendente;26260212007481000227550010000060181298319819
968306;000004830;cancelada;pendente;43260210948651000161550010009683061631299835
161455;000004752;fechada;processada;35260210948651003934550010001614551010147019
8228;000000702;fechada;processada;35260200429640000111550010000082281011016229
8227;000000638;fechada;processada;35260200429640000111550010000082271036089630
146343;000001229;fechada;processada;33260228842898000164550010001463431863857095
975;000004836;fechada;processada;26260230090259000131550010000009751212253930
40427;000004742;parcial;pendente;35260206746643000165550010000404271234414995
94100;000004686;fechada;processada;25260202155469000982550010000941001777556164
71327;000004831;parcial;pendente;26260225464260000653550010000713271170713275
174659;000001387;fechada;processada;35260209353055000150550000001746591002653538
297671;000001054;parcial;pendente;32260254362041000408550010002976711875719733
8293;000004822;fechada;processada;41260282351537000160550010000082931023080337
860638;000023418;não encontrada;pendente;26260207264693000179550010008606381649713783
37589;000076248;não encontrada;pendente;26260244471407000253550010000375891425230548
3307;000001295;fechada;processada;33260136380430000123550010000033071000328178
174499;000001350;fechada;processada;35260109353055000150550000001744991002651781
3301;000001295;fechada;processada;33260136380430000123550010000033011000327933
887951;000000758;fechada;processada;43260188674080000101550010008879511575369750
47532;000001352;parcial;pendente;33260125464260000491550010000475321180475329
47524;000001352;parcial;pendente;33260125464260000491550010000475241180475246
1441269;000001296;fechada;processada;42260192664028002519550010014412691014008619
1032249;—;sem OC;pendente;31260117281973001382550010010322491795299977
3287;000001334;parcial;pendente;33260136380430000123550010000032871000327541
3290;000001270;fechada;processada;33260136380430000123550010000032901000327580
3286;000001295;fechada;processada;33260136380430000123550010000032861000327528
47454;000001328;fechada;processada;33260125464260000491550010000474541180474545
1440254;000001360;fechada;processada;42260192664028002519550010014402541014974909
24857;000001228;fechada;processada;33260124204991000192550010000248571009839289
295378;000001148;fechada;processada;35260161479002000108550010002953781682364864
295366;000001148;fechada;processada;35260161479002000108550010002953661294908980
174227;000001361;fechada;processada;35260109353055000150550000001742271002648594
174219;000001278;fechada;processada;35260109353055000150550000001742191002648517
3266;000001274;fechada;processada;33260136380430000123550010000032661000326863
97670;001593500;não encontrada;pendente;33260113891342000190550010000976701492024006
886536;000000758;fechada;processada;43260188674080000101550010008865361575355463
7954;000000268;fechada;processada;35260107243151000110550030000079541307637790
97660;001593500;não encontrada;pendente;33260113891342000190550010000976601491978000
162950;000001276;fechada;processada;33260131383201000149550010001629501010016292
97657;001593500;não encontrada;pendente;33260113891342000190550010000976571491934007
97656;001593300;não encontrada;pendente;33260113891342000190550010000976561491906006
97638;001591500;não encontrada;pendente;33260113891342000190550010000976381491855004
97624;001591500;não encontrada;pendente;33260113891342000190550010000976241491821007
1437663;000001296;fechada;processada;42260192664028002519550010014376631014119820
24785;000001331;fechada;processada;33260124204991000192550010000247851949275730
24784;000001332;fechada;processada;33260124204991000192550010000247841796260874
97623;001591400;não encontrada;pendente;33260113891342000190550010000976231491796005
47299;000001328;fechada;processada;33260125464260000491550010000472991180472993
97615;001591500;não encontrada;pendente;33260113891342000190550010000976151491723006
97613;001591500;não encontrada;pendente;33260113891342000190550010000976131491721009
97607;001591400;não encontrada;pendente;33260113891342000190550010000976071491670008
97604;001591400;não encontrada;pendente;33260113891342000190550010000976041491644005
6501;000060402;não encontrada;pendente;33260138052139000151550010000065011133113062
47219;000001293;fechada;processada;33260125464260000491550010000472191180472194
10100;000001317;fechada;processada;43260134560360000160550010000101001000147446
95019;000001257;fechada;processada;33260102655093000207550010000950191478155349
12;—;sem OC;pendente;26260161759713000128550010000000121300000126
6012;009001368;não encontrada;pendente;26260112007481000227550010000060121108146961
232958;—;sem OC;pendente;26260107358761026710550010002329581371665653
13380;000004759;fechada;processada;26260106141500000120550050000133801120519839
135800;000004735;fechada;processada;35260101477885000187550010001358001763378200
1891;000004723;fechada;processada;32260135553201000443550010000018911498386548
50844;000004055;fechada;processada;35260101159496000103550010000508441000258625
162352;000001282;cancelada;pendente;33260131383201000149550010001623521010016235
162350;—;sem OC;pendente;33260131383201000149550010001623501010016230
90748;000000449;parcial;pendente;35260157643645000402550020000907481221480063
90750;000000449;parcial;pendente;35260157643645000402550020000907501221480070
90749;000000449;parcial;pendente;35260157643645000402550020000907491221480087
90738;000000537;parcial;pendente;35260157643645000402550020000907381223087028
90740;000000537;parcial;pendente;35260157643645000402550020000907401223087042
90737;000000537;parcial;pendente;35260157643645000402550020000907371223087039
90739;000000537;parcial;pendente;35260157643645000402550020000907391223087017
110481;000004737;fechada;processada;35260113705784000103550010001104811501135151
45437;000004730;fechada;processada;26260160621141000587550010000454371116245290
90718;000000449;parcial;pendente;35260157643645000402550020000907181221480056
90719;000000449;parcial;pendente;35260157643645000402550020000907191221480045
13346;000004743;fechada;processada;26260106141500000120550050000133461120519837
61534;000036693;não encontrada;pendente;26260127058274000198550010000615341051636864
131163;1065023211;não encontrada;pendente;26260118217682000154550010001311631139233324
294398;000257942;não encontrada;pendente;26260113596165000110550010002943981756238871
90689;000000449;parcial;pendente;35260157643645000402550020000906891221480028
90688;000000449;parcial;pendente;35260157643645000402550020000906881221480039
90687;000000449;parcial;pendente;35260157643645000402550020000906871221480015
24610;000001228;fechada;processada;33260124204991000192550010000246101861376720
24609;000001232;fechada;processada;33260124204991000192550010000246091050823148
883875;000000758;fechada;processada;43260188674080000101550010008838751575328831
11;—;sem OC;pendente;26260161759713000128550010000000111300000110
294233;000257795;não encontrada;pendente;26260113596165000110550010002942331568022603
27589;—;sem OC;pendente;26260142924799000152550010000275891396419951
945;000004643;fechada;processada;26260130090259000131550010000009451414212549
23845;000004149;fechada;processada;35260122957371000107550010000238451100214388
12045;000004698;fechada;processada;26260135364285000124550010000120451120519835
173426;000001209;fechada;processada;35260109353055000150550000001734261002639063
274876;000004701;fechada;processada;26260101612046000124550010002748761224161984
45340;000004703;fechada;processada;26260160621141000587550010000453401098621981
27575;000004690;parcial;pendente;26260142924799000152550010000275751493861722
6471;000001205;fechada;processada;33260138052139000151550010000064711705259732
70312;000004684;parcial;pendente;26260125464260000653550010000703121170703120
1232993;000045293;não encontrada;pendente;26260103666136000123550010012329931174597441
856166;000018971;não encontrada;pendente;26260107264693000179550010008561661044855020
92518;000004686;fechada;processada;25260102155469000982550010000925181368953705
294508;000001177;parcial;pendente;35260161479002000108550010002945081078596595
37402;000075863;não encontrada;pendente;26260144471407000253550010000374021936341697
2066;000001155;fechada;processada;33260140139851000134550010000020661000594814
510671;005326905;não encontrada;pendente;26260170224936000181550010005106711005106727
1862;—;sem OC;pendente;33260107238098000169550010000018621310948740
60873;000035289;não encontrada;pendente;26260127058274000198550010000608731452305680
173113;000001154;fechada;processada;35260109353055000150550000001731131002635349
110120;000004655;fechada;processada;35260113705784000103550010001101201201102957
938;000004643;fechada;processada;26260130090259000131550010000009381205914155
939;000004634;fechada;processada;26260130090259000131550010000009391705850846
24412;000001183;fechada;processada;33251224204991000192550010000244121216795113
6001;009001367;não encontrada;pendente;26251212007481000227550010000060011211547222
97228;001577700;não encontrada;pendente;33251213891342000190550010000972281488338009
97226;001577600;não encontrada;pendente;33251213891342000190550010000972261488335005
97227;001577600;não encontrada;pendente;33251213891342000190550010000972271488336009
97236;001577700;não encontrada;pendente;33251213891342000190550010000972361488405000
76791;000000451;fechada;processada;35251244151413000142550010000767911942871519
160677;—;sem OC;pendente;33251231383201000149550010001606771010016066
89443;—;sem OC;pendente;33251217469701016766550000000894431711756629
260162;000000379;fechada;processada;35251243213776000100550040002601621100574558
294230;000004650;parcial;pendente;35251261479002000108550010002942301880220495
37341;000075737;não encontrada;pendente;26251244471407000253550010000373411504089321
853871;000016656;não encontrada;pendente;26251207264693000179550010008538711368546278
47283;000004649;parcial;pendente;26251261479002001503550010000472831371808240
3710;000001279;fechada;processada;26251231562305000110550010000037101574848556
291599;000255578;não encontrada;pendente;26251213596165000110550010002915991902221906
264011;—;sem OC;pendente;26251202683153000378550010002640111860313696
44868;000003430;fechada;processada;35251296228317000159550010000448681074921201
27329;000004653;fechada;processada;26251242924799000152550010000273291537446955
291385;000255413;não encontrada;pendente;26251213596165000110550010002913851504382440
135600;000004536;fechada;processada;35251201477885000187550010001356001336317471
27328;000004470;fechada;processada;26251242924799000152550010000273281180456504
523509;000004399;fechada;processada;26251246044053002582550010005235091441085661
3700;000001266;parcial;pendente;26251231562305000110550010000037001031916554
128228;000004467;fechada;processada;35251210967516000163550010001282281990584074
212573;000001094;fechada;processada;35251262312426000138550010002125731344753256
9922;000000367;cancelada;pendente;35251209038088000105550010000099221046403270
24272;000001886;fechada;processada;33251224204991000192550010000242721817750570
37331;000075704;não encontrada;pendente;26251244471407000253550010000373311914314809
9506;—;sem OC;pendente;43251243460479000151550010000095061531903323
821343;000004631;fechada;processada;35251250981018000351550030008213431465215793
3697;000001261;fechada;processada;26251231562305000110550010000036971766326716
29230;000004328;fechada;processada;31251219236462000130550010000292301029230434
390282;000004630;fechada;processada;35251261072625000153550010003902821093144949
259981;000000376;parcial;pendente;35251243213776000100550040002599811100571105
9069;000004629;cancelada;pendente;26251230493128000103550010000090691984864483
3695;000001256;fechada;processada;26251231562305000110550010000036951449463972
6358;000004549;fechada;processada;35251219132916000123550010000063581000326690
59638;000004252;fechada;processada;35251247876552000121550010000596381000602492
18833;000004566;fechada;processada;35251274242785000145550010000188331287083972
19108;—;sem OC;pendente;33251210948651002105550010000191081611569560
522959;000004562;fechada;processada;26251246044053002582550010005229591893271357
213779;000000482;fechada;processada;35251255474522000117550010002137791405298711
213776;000000454;fechada;processada;35251255474522000117550010002137761307545968
4202;—;sem OC;pendente;26251206259587000134550020000042021161320022
3683;000001244;fechada;processada;26251231562305000110550010000036831882930050
45041;000004592;fechada;processada;26251260621141000587550010000450411538751026
3687;000001247;fechada;processada;26251231562305000110550010000036871695082694
852492;000015179;não encontrada;pendente;26251207264693000179550010008524921855915760
958900;000004260;parcial;pendente;43251210948651000161550010009589001758789106
45040;000004585;fechada;processada;26251260621141000587550010000450401513685600
3682;000001243;fechada;processada;26251231562305000110550010000036821926040880
1229224;000041109;não encontrada;pendente;26251203666136000123550010012292241873019010
179814;000000424;fechada;processada;31251266220047000179550000001798141001338166
81521;000004627;fechada;processada;26251207065420000103550010000815211001083888
3680;000001239;fechada;processada;26251231562305000110550010000036801501514681
1849;000004418;fechada;processada;33251207238098000169550010000018491362122519
241347;005141277;não encontrada;pendente;26251212806642000161550010002413471255161040
958278;000004260;parcial;pendente;43251210948651000161550010009582781679529459
241346;005140984;não encontrada;pendente;26251212806642000161550010002413461201241413
307730;000004598;fechada;processada;43251272178353000197550000003077301236502238
564277;000003247;fechada;processada;35251262895792000167550000005642771005668549
3678;000001236;parcial;pendente;26251231562305000110550010000036781907016461
19463;—;sem OC;pendente;26251209316105000986550020000194631397958134
18808;000004096;fechada;processada;35251274242785000145550010000188081111574059
3676;000001233;fechada;processada;26251231562305000110550010000036761168505137
204455;000001080;fechada;processada;35251246906624000173550020002044551115727804
259443;000000566;fechada;processada;35251243213776000100550040002594431100559808
179766;000000582;fechada;processada;31251266220047000179550000001797661001337683
159432;—;sem OC;pendente;33251231383201000149550010001594321010015943
259266;000000565;fechada;processada;35251243213776000100550040002592661100555601
144597;000001101;fechada;processada;33251228842898000164550010001445971804903632
231247;—;sem OC;pendente;26251207358761026710550010002312471741743210
1227719;000039290;não encontrada;pendente;26251203666136000123550010012277191656156689
3672;000001229;fechada;processada;26251231562305000110550010000036721919053606
6896;1065022093;não encontrada;pendente;26251218217682000588550010000068961491101580
3670;000001227;fechada;processada;26251231562305000110550010000036701519817795
50543;000004182;fechada;processada;35251201159496000103550010000505431000255538
259528;—;sem OC;pendente;26251224073694000155550020002595281000653927
94629;000004505;fechada;processada;35251262821723000109550010000946291801146465
59484;000032949;não encontrada;pendente;26251227058274000198550010000594841262169224
179686;000000582;fechada;processada;31251266220047000179550000001796861001336889
521842;000004562;fechada;processada;26251246044053002582550010005218421888149100
3664;000001219;fechada;processada;26251231562305000110550010000036641456726685
241000;005141159;não encontrada;pendente;26251212806642000161550010002410001140194199
3665;000001220;aberta;pendente;26251231562305000110550010000036651520075101
3666;000001221;fechada;processada;26251231562305000110550010000036661894311022
521831;000004485;fechada;processada;26251246044053002582550010005218311767716352
850651;000013372;não encontrada;pendente;26251207264693000179550010008506511019365769
259032;000000379;fechada;processada;35251243213776000100550040002590321100550490
1017838;—;sem OC;pendente;31251217281973001382550010010178381106454198
76340;000000451;fechada;processada;35251244151413000142550010000763401442212124
69358;000004552;fechada;processada;26251225464260000653550010000693581170693584
521778;000004559;fechada;processada;26251246044053002582550010005217781924401184
69340;000004537;fechada;processada;26251225464260000653550010000693401170693407
3663;000001218;fechada;processada;26251231562305000110550010000036631961022013
90827;000004538;fechada;processada;25251202155469000982550010000908271416532264
69341;000004540;fechada;processada;26251225464260000653550010000693411170693412
240868;005141088;não encontrada;pendente;26251212806642000161550010002408681103253115
1516;000004519;fechada;processada;26251249165987000193550010000015161488515775
46227;—;sem OC;pendente;33251125464260000491550010000462271180462278
23851;000001093;fechada;processada;33251124204991000192550010000238511519178171
126166;011011623;não encontrada;pendente;42251109006278000221550010001261661176572525
158467;—;sem OC;pendente;33251131383201000149550010001584671010015843
116103;—;sem OC;pendente;33251107358761028411550010001161031507608901
393;000001032;fechada;processada;35251150524781000191550010000003931033433293
128677;000000951;parcial;pendente;35251167439513000174550100001286771003272840
128676;—;sem OC;pendente;35251167439513000174550100001286761003272827
134947;—;sem OC;pendente;41251110948651005040550010001349471524630345
109427;000018181;não encontrada;pendente;35251110533881000160550000001094271481060605
873;000004382;fechada;processada;26251130090259000131550010000008731514594303
211703;000004409;fechada;processada;42251102263430000393550020002117031145772922
286699;000250919;não encontrada;pendente;26251113596165000110550010002866991053168020
871;000004448;fechada;processada;26251130090259000131550010000008711997850798
286701;000250944;não encontrada;pendente;26251113596165000110550010002867011693413655
870;000004362;fechada;processada;26251130090259000131550010000008701873844985
52855;000001081;fechada;processada;33251103182704000110550010000528551732280379
2314;—;sem OC;pendente;33251140897398000125550010000023141840897387
96540;001554200;não encontrada;pendente;33251113891342000190550010000965401482276004
96538;001554200;não encontrada;pendente;33251113891342000190550010000965381482272000
96539;001554200;não encontrada;pendente;33251113891342000190550010000965391482274000
96541;001554200;não encontrada;pendente;33251113891342000190550010000965411482273002
96537;001554200;não encontrada;pendente;33251113891342000190550010000965371482271007
18818;000001060;fechada;processada;35251105755311000184550010000188181847168550
3635;000001171;fechada;processada;26251131562305000110550010000036351226128055
70810;024004791;não encontrada;pendente;31251105999532000106550010000708101188149259
16111;000004440;fechada;processada;41251102178116000140550010000161111004640323
2479829;033188161;não encontrada;pendente;26251110230480001960550100024798291143172234
2479870;033203016;não encontrada;pendente;26251110230480001960550100024798701143174047
